lambda,alpha,method,repetitions,coverage_mean,coverage_se,coverage_ci_lower,coverage_ci_upper,coverage_simultaneous_lower,coverage_simultaneous_upper,finite_radius_mean,finite_radius_median_mean,infinite_radius_rate_mean,ess_mean,exact_tv_mean,exact_l1_mean,population_logistic_regret_mean,classifier_l1_bound_mean,exact_tv_lower_bound_mean,classifier_lower_bound_mean,coverage_minus_tv_bound_mean
0.0,0.05,estimated_ratio,50,0.95396,0.001371842199528854,0.951203179886578,0.9567168201134221,0.9491766594357657,0.9587433405642344,1.2721047973632813,1.2721047973632813,0.0,499.71633417531984,0.008311606652864035,0.0166304752577744,7.078690604807086e-05,0.19198730867006625,0.9416883933471359,0.7580126913299335,0.012271606652864121
0.0,0.05,estimated_ratio_clipped,50,0.95396,0.001371842199528854,0.951203179886578,0.9567168201134221,0.9491766594357657,0.9587433405642344,1.2721047973632813,1.2721047973632813,0.0,499.71633417531984,0.008311606652864035,0.0166304752577744,7.078690604807094e-05,0.19198730867006758,0.9416883933471359,0.7580126913299324,0.012271606652864121
0.0,0.05,oracle_ratio,50,0.9531620000000001,0.0014044822998572264,0.9503395871492206,0.9559844128507795,0.9482648499057957,0.9580591500942044,1.2708220100402832,1.2708220100402832,0.0,500.0,0.0,0.0,0.0,0.0,0.9500000000000002,0.9500000000000002,0.003162000000000047
0.0,0.05,unweighted,50,0.9531620000000001,0.0014044822998572264,0.9503395871492206,0.9559844128507795,0.9482648499057957,0.9580591500942044,1.2708220100402832,1.2708220100402832,0.0,500.0,0.0,0.0,0.0,0.0,0.9500000000000002,0.9500000000000002,0.003162000000000047
0.0,0.1,estimated_ratio,50,0.902616,0.0021105050367634954,0.8983747813402835,0.9068572186597165,0.8952570892179589,0.9099749107820411,1.1833347582817078,1.1833347582817078,0.0,499.71633417531984,0.008311606652864035,0.0166304752577744,7.078690604807086e-05,0.19198730867006625,0.891688393347136,0.7080126913299337,0.010927606652864059
0.0,0.1,estimated_ratio_clipped,50,0.902616,0.0021105050367634954,0.8983747813402835,0.9068572186597165,0.8952570892179589,0.9099749107820411,1.1833347582817078,1.1833347582817078,0.0,499.71633417531984,0.008311606652864035,0.0166304752577744,7.078690604807094e-05,0.19198730867006758,0.891688393347136,0.7080126913299324,0.010927606652864059
0.0,0.1,oracle_ratio,50,0.90218,0.002039879948448347,0.8980807077688817,0.9062792922311182,0.8950673448367951,0.9092926551632049,1.181655535697937,1.181655535697937,0.0,500.0,0.0,0.0,0.0,0.0,0.9,0.9,0.0021799999999999775
0.0,0.1,unweighted,50,0.90218,0.002039879948448347,0.8980807077688817,0.9062792922311182,0.8950673448367951,0.9092926551632049,1.181655535697937,1.181655535697937,0.0,500.0,0.0,0.0,0.0,0.0,0.9,0.9,0.0021799999999999775
0.0,0.2,estimated_ratio,50,0.8023019999999998,0.0025479747700029184,0.7971816529973719,0.8074223470026278,0.7934177193748765,0.8111862806251232,0.9965443118860722,0.9965209555625916,0.0,499.71633417531984,0.008311606652864035,0.0166304752577744,7.078690604807086e-05,0.19198730867006625,0.7916883933471358,0.6080126913299337,0.010613606652864037
0.0,0.2,estimated_ratio_clipped,50,0.8023019999999998,0.0025479747700029184,0.7971816529973719,0.8074223470026278,0.7934177193748765,0.8111862806251232,0.9965443118860722,0.9965209555625916,0.0,499.71633417531984,0.008311606652864035,0.0166304752577744,7.078690604807094e-05,0.19198730867006758,0.7916883933471358,0.6080126913299325,0.010613606652864037
0.0,0.2,oracle_ratio,50,0.8018,0.0025845648589664146,0.7966061224606666,0.8069938775393333,0.7927881370211277,0.8108118629788722,0.9961002218723297,0.9961002218723297,0.0,500.0,0.0,0.0,0.0,0.0,0.7999999999999998,0.7999999999999998,0.0017999999999999594
0.0,0.2,unweighted,50,0.8018,0.0025845648589664146,0.7966061224606666,0.8069938775393333,0.7927881370211277,0.8108118629788722,0.9961002218723297,0.9961002218723297,0.0,500.0,0.0,0.0,0.0,0.0,0.7999999999999998,0.7999999999999998,0.0017999999999999594
0.5,0.05,estimated_ratio,50,0.9544739999999998,0.002201579785295189,0.9500497597809063,0.9588982402190933,0.9467975297062462,0.9621504702937534,1.292898653668165,1.2923358750343323,0.0,365.8309265216692,0.007112560142430046,0.01619812332505647,5.3375378270125885e-05,0.17560408455572513,0.9428874398575698,0.7743959154442748,0.01158656014243014
0.5,0.05,estimated_ratio_clipped,50,0.9544739999999998,0.002201579785295189,0.9500497597809063,0.9588982402190933,0.9467975297062462,0.9621504702937534,1.292898653668165,1.2923358750343323,0.0,365.8309265216692,0.007112560142430046,0.01619812332505647,5.337537827012601e-05,0.17560408455572585,0.9428874398575698,0.774395915444274,0.01158656014243014
0.5,0.05,oracle_ratio,50,0.953584,0.002290901898860813,0.9489802602733569,0.9581877397266431,0.9455960812836447,0.9615719187163553,1.2929360314068794,1.2927322316169738,0.0,367.0784025340846,8.456776945386936e-18,0.0,0.0,0.0,0.9500000000000002,0.9500000000000002,0.003584000000000043
0.5,0.05,unweighted,50,0.8951059999999998,0.002873084682329558,0.8893323201682151,0.9008796798317846,0.8850881258522391,0.9051238741477606,1.2324744200706481,1.2324744200706481,0.0,500.0,0.2461486533257376,0.4922973066514754,0.0403959609724895,5.68478396933354,0.7038513466742623,-4.734783969333541,0.1912546533257377
0.5,0.1,estimated_ratio,50,0.9058320000000001,0.0032689328471511426,0.8992628334985268,0.9124011665014734,0.8944338821298059,0.9172301178701943,1.241161353441477,1.2417535543441773,0.0,365.8309265216692,0.007112560142430046,0.01619812332505647,5.3375378270125885e-05,0.17560408455572513,0.8928874398575698,0.7243959154442747,0.012944560142430077
