lambda,pool_size,source_entropy,target_entropy,oracle_ratio_min,oracle_ratio_max,oracle_ratio_mean_under_source,bayes_logit_slope,bayes_logit_intercept,source_target_tv
0.0,192,5.257495372027781,5.257495372027781,1.0,1.0,1.0,0.0,0.0,0.0
0.5,192,5.216428359323306,5.216428359323307,0.3678794411714424,2.7182818284590446,1.0,1.0,-8.84980023291293e-18,0.24614865332573765
1.0,192,5.104456887980501,5.1044568879805,0.13533528323661267,7.389056098930651,1.0,2.0,-8.321251673826247e-18,0.46417342872686507
1.5,192,4.947997736992111,4.947997736992112,0.04978706836786395,20.08553692318767,1.0,3.0,1.170576945560183e-16,0.6374857267977343
