metric,mean,cluster_ci_lower,cluster_ci_upper
score,0.8146072548503677,0.7386996637986728,0.8923831511913412
translation_action_norm,0.03566532022611547,0.029074977396574636,0.04318941681758854
rotation_action_norm,0.047158553309241256,0.026234531550899918,0.0751148533769557
gripper_action_abs,0.0680754413848512,0.040194801568687585,0.0943194607201069
